order_id,order_date,order_time,customer_segment,order_value,cuisine_type,delivery_time_mins,promo_code_used,is_reorder
1,2025-07-01,13:03:14,Grad Student,28.61,Asian,31,No,Yes
2,2025-07-01,14:14:08,Off-Campus,17.36,Indian,20,Yes,Yes
3,2025-07-01,14:44:27,Off-Campus,16.44,Breakfast,33,No,Yes
4,2025-07-01,20:46:10,Grad Student,35.46,Breakfast,17,No,No
5,2025-07-02,17:05:59,Grad Student,27.12,Asian,25,No,No
6,2025-07-03,18:45:44,Greek Life,36.96,Pizza,35,No,No
7,2025-07-03,20:33:16,Grad Student,40.67,Pizza,27,No,No
8,2025-07-04,11:32:16,Greek Life,53.49,Pizza,35,Yes,Yes
9,2025-07-04,20:40:53,Dorm,12.14,Pizza,35,Yes,No
10,2025-07-05,16:33:35,Dorm,5.91,Indian,20,No,No
11,2025-07-06,17:55:40,Grad Student,24.01,Mediterranean,40,Yes,No
12,2025-07-06,19:25:35,Off-Campus,20.14,Burgers,25,No,No
13,2025-07-06,20:16:59,Greek Life,48.81,Asian,22,No,No
14,2025-07-07,13:01:35,Dorm,17.06,Asian,40,Yes,No
15,2025-07-07,18:27:11,Dorm,14.39,Breakfast,35,No,No
16,2025-07-08,11:42:41,Off-Campus,16.65,Mediterranean,36,Yes,No
17,2025-07-08,18:45:13,Dorm,19.23,Asian,33,No,Yes
18,2025-07-08,21:05:46,Dorm,13.30,Mediterranean,30,No,Yes
19,2025-07-09,13:06:24,Off-Campus,24.87,Burgers,20,No,No
20,2025-07-09,15:07:18,Grad Student,19.94,Indian,33,No,Yes
21,2025-07-10,20:20:25,Off-Campus,15.93,Burgers,22,No,Yes
22,2025-07-12,11:32:31,Grad Student,28.83,Pizza,31,No,No
23,2025-07-12,15:27:38,Off-Campus,20.47,Indian,30,Yes,Yes
24,2025-07-13,19:01:07,Off-Campus,20.79,Mexican,26,No,Yes
25,2025-07-14,17:43:41,Grad Student,30.17,Asian,30,No,No
26,2025-07-15,18:32:30,Dorm,18.10,Mediterranean,13,No,Yes
27,2025-07-15,20:35:00,Dorm,23.27,Mexican,41,Yes,Yes
28,2025-07-16,20:09:16,Dorm,19.76,Asian,39,No,Yes
29,2025-07-17,18:17:28,Off-Campus,21.63,Burgers,33,No,No
30,2025-07-17,21:03:32,Grad Student,30.93,Mediterranean,32,No,Yes
31,2025-07-17,21:23:27,Grad Student,36.36,Asian,34,No,No
32,2025-07-18,11:02:19,Grad Student,16.26,Breakfast,42,Yes,Yes
33,2025-07-18,13:36:30,Grad Student,27.35,Asian,38,Yes,No
34,2025-07-18,13:55:38,Grad Student,22.72,Mexican,32,No,Yes
35,2025-07-18,17:42:52,Grad Student,11.72,Pizza,25,No,Yes
36,2025-07-20,18:10:29,Off-Campus,7.03,Mexican,45,No,No
37,2025-07-20,18:43:19,Off-Campus,18.53,Pizza,35,Yes,No
38,2025-07-20,22:36:12,Greek Life,44.97,Burgers,28,Yes,Yes
39,2025-07-22,13:27:08,Grad Student,29.97,Asian,27,No,No
40,2025-07-22,13:56:55,Off-Campus,12.21,Pizza,35,No,No
41,2025-07-22,20:57:33,Dorm,11.76,Pizza,32,Yes,No
42,2025-07-23,18:18:13,Grad Student,36.03,Mexican,28,No,Yes
43,2025-07-24,19:18:38,Greek Life,48.69,Mediterranean,36,No,No
44,2025-07-25,11:51:20,Greek Life,42.39,Breakfast,32,No,No
45,2025-07-25,21:38:20,Grad Student,23.60,Asian,30,No,No
46,2025-07-26,12:01:11,Greek Life,45.09,Breakfast,24,No,No
47,2025-07-26,21:01:42,Dorm,16.40,Indian,36,No,Yes
48,2025-07-27,22:57:10,Grad Student,26.68,Asian,22,Yes,No
49,2025-07-28,19:51:02,Dorm,14.29,Breakfast,21,No,No
50,2025-07-29,10:26:34,Grad Student,26.86,Mediterranean,21,Yes,Yes
51,2025-07-29,12:14:11,Greek Life,52.17,Asian,20,No,No
52,2025-07-29,16:01:54,Grad Student,33.71,Mexican,24,No,Yes
53,2025-07-29,17:39:05,Dorm,9.79,Asian,35,No,Yes
54,2025-07-29,20:16:53,Dorm,15.78,Asian,31,No,Yes
55,2025-07-30,14:40:27,Dorm,15.65,Burgers,28,Yes,No
56,2025-08-01,13:53:55,Off-Campus,7.07,Breakfast,22,No,Yes
57,2025-08-03,18:06:44,Off-Campus,19.37,Mexican,16,Yes,No
58,2025-08-03,19:50:50,Greek Life,33.52,Breakfast,23,No,No
59,2025-08-03,20:58:44,Dorm,13.52,Pizza,37,No,Yes
60,2025-08-04,13:08:24,Grad Student,17.01,Salads,33,No,Yes
61,2025-08-04,13:22:36,Greek Life,40.71,Pizza,40,No,Yes
62,2025-08-04,18:29:44,Grad Student,26.74,Mediterranean,37,No,No
63,2025-08-04,20:00:46,Greek Life,60.98,Breakfast,41,Yes,No
64,2025-08-05,12:39:40,Dorm,8.90,Burgers,24,No,Yes
65,2025-08-05,21:53:31,Off-Campus,9.16,Burgers,19,No,Yes
66,2025-08-06,10:06:37,Off-Campus,22.27,Mexican,31,No,Yes
67,2025-08-08,12:38:38,Dorm,15.81,Asian,25,No,Yes
68,2025-08-08,17:11:16,Off-Campus,25.79,Mexican,34,No,No
69,2025-08-08,18:10:11,Grad Student,39.45,Mediterranean,37,Yes,No
70,2025-08-08,19:43:48,Off-Campus,16.67,Salads,20,No,No
71,2025-08-08,21:43:23,Grad Student,8.43,Asian,25,No,Yes
72,2025-08-09,15:21:59,Greek Life,48.22,Pizza,25,No,No
73,2025-08-10,14:37:23,Off-Campus,17.76,Burgers,27,No,Yes
74,2025-08-12,10:19:40,Grad Student,37.41,Mexican,27,No,No
75,2025-08-12,19:04:32,Off-Campus,17.52,Asian,29,No,Yes
76,2025-08-12,19:42:06,Dorm,17.52,Mexican,25,Yes,No
77,2025-08-14,10:35:21,Grad Student,22.40,Asian,36,Yes,No
78,2025-08-14,11:29:07,Dorm,13.44,Breakfast,27,Yes,No
79,2025-08-14,13:07:54,Grad Student,18.91,Mexican,18,No,Yes
80,2025-08-14,17:39:47,Greek Life,62.52,Mediterranean,37,Yes,Yes
81,2025-08-15,19:20:54,Off-Campus,18.33,Burgers,46,No,No
82,2025-08-15,20:16:42,Dorm,23.12,Breakfast,31,No,Yes
83,2025-08-16,10:15:29,Grad Student,20.47,Indian,28,No,No
84,2025-08-16,17:05:18,Off-Campus,19.36,Burgers,41,No,No
85,2025-08-17,20:32:14,Off-Campus,19.40,Salads,29,No,No
86,2025-08-18,11:20:16,Off-Campus,12.11,Asian,47,No,No
87,2025-08-18,11:26:28,Dorm,13.11,Pizza,23,Yes,Yes
88,2025-08-18,17:12:33,Off-Campus,12.57,Mexican,39,No,Yes
89,2025-08-18,22:33:32,Dorm,22.26,Burgers,23,No,No
90,2025-08-19,13:13:37,Dorm,16.93,Burgers,44,Yes,No
91,2025-08-20,17:54:21,Dorm,20.34,Burgers,19,No,No
92,2025-08-22,16:09:31,Grad Student,30.55,Breakfast,29,No,Yes
93,2025-08-22,17:31:54,Grad Student,23.32,Asian,37,Yes,Yes
94,2025-08-22,18:28:34,Grad Student,20.74,Salads,31,No,No
95,2025-08-23,12:14:54,Greek Life,46.57,Salads,28,No,No
96,2025-08-23,20:17:32,Dorm,10.32,Mexican,28,No,No
97,2025-08-23,22:10:44,Off-Campus,17.63,Burgers,32,Yes,Yes
98,2025-08-24,18:12:13,Dorm,14.74,Mexican,24,No,No
99,2025-08-24,21:29:04,Off-Campus,26.26,Indian,44,No,No
100,2025-08-25,10:02:48,Off-Campus,21.70,Salads,31,No,Yes
101,2025-08-25,13:41:28,Dorm,17.46,Mexican,28,No,No
102,2025-08-26,17:50:25,Greek Life,60.83,Asian,31,No,No
103,2025-08-27,11:23:11,Greek Life,39.93,Pizza,40,Yes,Yes
104,2025-08-27,19:06:43,Grad Student,27.16,Indian,32,No,No
105,2025-08-28,10:08:34,Dorm,14.99,Mexican,34,Yes,Yes
106,2025-08-28,14:42:13,Dorm,11.18,Pizza,23,No,Yes
107,2025-08-28,17:15:40,Off-Campus,16.35,Burgers,25,Yes,No
108,2025-08-28,17:25:31,Dorm,20.67,Pizza,34,Yes,No
109,2025-08-28,17:58:38,Dorm,14.74,Breakfast,17,No,Yes
110,2025-08-29,11:33:12,Off-Campus,24.85,Asian,36,No,No
111,2025-08-29,16:09:27,Grad Student,30.81,Mediterranean,38,No,No
112,2025-08-30,11:04:03,Off-Campus,20.16,Mediterranean,35,No,Yes
113,2025-08-30,13:31:07,Grad Student,36.71,Salads,32,No,Yes
114,2025-08-31,12:06:55,Dorm,18.67,Asian,30,No,No
115,2025-08-31,12:54:25,Grad Student,24.01,Mediterranean,31,No,No
116,2025-09-01,15:29:43,Dorm,14.09,Burgers,23,Yes,No
